順位,名称・コード・市場,取引値,発行済み株式数,時価総額(百万円),単元株数
195,(株)三越伊勢丹ホールディングス3099東証PRM掲示板,"2,25206/20","380,262,554株","856,351百万円",100
196,ミネベアミツミ(株)6479東証PRM掲示板,"1,99506/20","427,080,606株","852,026百万円",100
197,(株)安川電機6506東証PRM掲示板,"3,19006/20","266,690,497株","850,743百万円",100
198,ジャパンリアルエステイト投資法人8952東証掲示板,"119,50006/20","7,114,320株","850,161百万円",1
199,(株)電通グループ4324東証PRM掲示板,"3,18506/20","265,800,000株","846,573百万円",100
200,イビデン(株)4062東証PRM掲示板,"5,98806/20","140,860,557株","843,473百万円",100
201,(株)きんでん1944東証PRM掲示板,"4,06506/20","199,954,180株","812,814百万円",100
202,(株)ユー・エス・エス4732東証PRM掲示板,"1,57006/20","514,000,000株","806,980百万円",100
203,(株)ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ3563東証PRM掲示板,"6,92606/20","116,069,184株","803,895百万円",100
204,東京センチュリー(株)8439東証PRM掲示板,"1,62006/20","492,113,280株","797,224百万円",100
205,オムロン(株)6645東証PRM掲示板,"3,83806/20","206,244,872株","791,568百万円",100
206,(株)コーエーテクモホールディングス3635東証PRM掲示板,"2,354.506/20","336,096,924株","791,340百万円",100
207,日本マクドナルドホールディングス(株)2702東証STD掲示板,"5,95006/20","132,960,000株","791,112百万円",100
208,(株)ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ6525東証PRM掲示板,"3,32106/20","238,115,614株","790,782百万円",100
209,野村不動産ホールディングス(株)3231東証PRM掲示板,860.406/20,"917,474,685株","789,395百万円",100
210,セガサミーホールディングス(株)6460東証PRM掲示板,"3,56506/20","221,229,476株","788,683百万円",100
211,双日(株)2768東証PRM掲示板,"3,49206/20","225,000,000株","785,700百万円",100
212,(株)サイバーエージェント4751東証PRM掲示板,"1,547.506/20","506,503,200株","783,814百万円",100
213,(株)京都フィナンシャルグループ5844東証PRM掲示板,"2,58806/20","301,362,752株","779,927百万円",100
214,(株)ＴＢＳホールディングス9401東証PRM掲示板,"4,69106/20","165,591,065株","776,788百万円",100
215,小野薬品工業(株)4528東証PRM掲示板,"1,55506/20","498,692,800株","775,467百万円",100
216,(株)オープンハウスグループ3288東証PRM掲示板,"6,33206/20","120,689,300株","764,205百万円",100
217,東急不動産ホールディングス(株)3289東証PRM掲示板,"1,05206/20","719,830,974株","757,262百万円",100
218,日鉄ソリューションズ(株)2327東証PRM掲示板,"4,09506/20","183,002,000株","749,393百万円",100
219,(株)リコー7752東証PRM掲示板,"1,31006/20","569,733,178株","746,350百万円",100
220,(株)ふくおかフィナンシャルグループ8354東証PRM掲示板,"3,90006/20","191,138,265株","745,439百万円",100
221,(株)クレディセゾン8253東証PRM掲示板,"4,00706/20","185,444,772株","743,077百万円",100
222,住信ＳＢＩネット銀行(株)7163東証STD掲示板,"4,88506/20","150,793,800株","736,628百万円",100
223,日本都市ファンド投資法人8953東証掲示板,"101,70006/20","7,192,809株","731,509百万円",1
224,(株)めぶきフィナンシャルグループ7167東証PRM掲示板,74106/20,"987,055,218株","731,408百万円",100
225,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス(株)9147東証PRM掲示板,"2,80006/20","261,000,000株","730,800百万円",100
226,王子ホールディングス(株)3861東証PRM掲示板,719.606/20,"1,014,381,817株","729,949百万円",100
227,ＪＸ金属(株)5016東証PRM掲示板,781.206/20,"928,463,102株","725,315百万円",100
228,(株)コスモス薬品3349東証PRM掲示板,"9,04506/20","80,001,600株","723,614百万円",100
229,(株)しまむら8227東証PRM掲示板,"9,73006/20","73,826,598株","718,333百万円",100
230,ホシザキ(株)6465東証PRM掲示板,"4,95106/20","144,890,100株","717,351百万円",100
231,東京電力ホールディングス(株)9501東証PRM掲示板,445.806/20,"1,607,017,531株","716,408百万円",100
232,(株)エービーシー・マート2670東証PRM掲示板,"2,882.506/20","247,618,938株","713,762百万円",100
233,アズビル(株)6845東証PRM掲示板,"1,30606/20","541,372,736株","707,033百万円",100
234,(株)すかいらーくホールディングス3197東証PRM掲示板,"3,09506/20","227,502,200株","704,119百万円",100
235,京成電鉄(株)9009東証PRM掲示板,"1,35906/20","517,233,555株","702,920百万円",100
236,(株)フジ・メディア・ホールディングス4676東証PRM掲示板,"2,97506/20","234,194,500株","696,729百万円",100
237,野村不動産マスターファンド投資法人3462東証掲示板,"148,30006/20","4,646,364株","689,056百万円",1
238,山崎製パン(株)2212東証PRM掲示板,"3,12106/20","220,282,860株","687,503百万円",100
239,セイコーエプソン(株)6724東証PRM掲示板,"1,83806/20","373,573,152株","686,627百万円",100
240,ヤマトホールディングス(株)9064東証PRM掲示板,"1,90106/20","360,496,492株","685,304百万円",100
241,ＧＭＯペイメントゲートウェイ(株)3769東証PRM掲示板,"8,93006/20","76,557,545株","683,659百万円",100
242,東ソー(株)4042東証PRM掲示板,"2,098.506/20","325,080,956株","682,182百万円",100
243,(株)ＳＡＮＫＹＯ6417東証PRM掲示板,"2,62106/20","260,000,000株","681,460百万円",100
244,ローム(株)6963東証PRM掲示板,"1,686.506/20","403,760,000株","680,941百万円",100
245,東映アニメーション(株)4816東証STD掲示板,"3,21006/20","210,000,000株","674,100百万円",100
246,日本プロロジスリート投資法人3283東証掲示板,"80,00006/20","8,389,107株","671,129百万円",1
247,(株)関電工1942東証PRM掲示板,"3,24406/20","205,288,338株","665,955百万円",100
248,イオンモール(株)8905東証PRM掲示板,"2,91206/20","227,578,239株","662,708百万円",100
249,(株)長谷工コーポレーション1808東証PRM掲示板,"2,200.506/20","300,794,397株","661,898百万円",100
250,アコム(株)8572東証STD掲示板,421.406/20,"1,566,614,098株","660,171百万円",100
